"ID";"Sex";"Age";"Periods";"TotalSuicides_1";"Unmarried_2";"Married_3";"Widowed_4";"Divorced_5";"HangingStrangulation_6";"DrugsMedicinesAlcohol_7";"TrainMetro_8";"Drowning_9";"JumpingFromHeight_10"
"177";"T001038";"60300";"1983JJ00";"     265";"     187";"      65";"       0";"      13";"      85";"      41";"      47";"      11";"      40"
"178";"T001038";"60300";"1984JJ00";"     274";"     217";"      42";"       0";"      15";"     105";"      37";"      42";"      10";"      45"
"179";"T001038";"60300";"1985JJ00";"     285";"     240";"      30";"       2";"      13";"      96";"      42";"      52";"      11";"      38"
"180";"T001038";"60300";"1986JJ00";"     262";"     213";"      32";"       1";"      16";"      87";"      33";"      56";"       3";"      35"
"181";"T001038";"60300";"1987JJ00";"     265";"     219";"      33";"       0";"      13";"      94";"      36";"      48";"       8";"      38"
"182";"T001038";"60300";"1988JJ00";"     247";"     209";"      31";"       1";"       6";"      87";"      25";"      55";"       9";"      42"
"183";"T001038";"60300";"1989JJ00";"     256";"     228";"      21";"       0";"       7";"      86";"      21";"      64";"       9";"      41"
"184";"T001038";"60300";"1990JJ00";"     214";"     182";"      29";"       0";"       3";"      85";"      13";"      43";"       6";"      35"
"185";"T001038";"60300";"1991JJ00";"     255";"     234";"      11";"       2";"       8";"      87";"      29";"      44";"      10";"      39"
"186";"T001038";"60300";"1992JJ00";"     245";"     205";"      32";"       0";"       8";"      97";"      19";"      55";"       4";"      29"
"187";"T001038";"60300";"1993JJ00";"     258";"     227";"      24";"       1";"       6";"     110";"      30";"      47";"      10";"      24"
"188";"T001038";"60300";"1994JJ00";"     228";"     199";"      25";"       0";"       4";"      84";"      26";"      56";"       9";"      22"
"189";"T001038";"60300";"1995JJ00";"     234";"     208";"      13";"       1";"      12";"      94";"      28";"      52";"       5";"      27"
"190";"T001038";"60300";"1996JJ00";"     232";"     204";"      19";"       0";"       9";"      95";"      30";"      42";"       9";"      26"
"191";"T001038";"60300";"1997JJ00";"     252";"     225";"      19";"       0";"       8";"     109";"      29";"      50";"       7";"      25"
"192";"T001038";"60300";"1998JJ00";"     202";"     173";"      18";"       0";"      11";"      90";"      23";"      43";"       3";"      23"
"193";"T001038";"60300";"1999JJ00";"     198";"     176";"      18";"       2";"       2";"      85";"      19";"      38";"       8";"      23"
"194";"T001038";"60300";"2000JJ00";"     154";"     138";"      12";"       0";"       4";"      67";"      16";"      26";"       5";"      23"
"195";"T001038";"60300";"2001JJ00";"     160";"     147";"       8";"       0";"       5";"      47";"      21";"      36";"       9";"      24"
"196";"T001038";"60300";"2002JJ00";"     160";"     143";"      13";"       0";"       4";"      64";"      19";"      30";"       4";"      30"
"197";"T001038";"60300";"2003JJ00";"     167";"     151";"      13";"       1";"       2";"      85";"      13";"      27";"       4";"      20"
"198";"T001038";"60300";"2004JJ00";"     138";"     125";"      10";"       1";"       2";"      47";"      13";"      31";"       6";"      22"
"199";"T001038";"60300";"2005JJ00";"     153";"     143";"       8";"       0";"       2";"      67";"      20";"      27";"       2";"      14"
"200";"T001038";"60300";"2006JJ00";"     166";"     157";"       7";"       0";"       2";"      68";"      14";"      40";"       5";"      26"
"201";"T001038";"60300";"2007JJ00";"     135";"     125";"       8";"       1";"       1";"      56";"      11";"      32";"       3";"      11"
"202";"T001038";"60300";"2008JJ00";"     143";"     134";"       7";"       0";"       2";"      71";"      22";"      21";"       5";"      16"
"203";"T001038";"60300";"2009JJ00";"     139";"     130";"       8";"       1";"       0";"      57";"      15";"      32";"       2";"      15"
"204";"T001038";"60300";"2010JJ00";"     148";"     140";"       7";"       0";"       1";"      75";"      19";"      26";"       3";"      16"
"205";"T001038";"60300";"2011JJ00";"     189";"     173";"      14";"       0";"       2";"      85";"      18";"      38";"       4";"      27"
"206";"T001038";"60300";"2012JJ00";"     180";"     166";"      12";"       0";"       2";"      78";"      20";"      36";"       3";"      22"
"207";"T001038";"60300";"2013JJ00";"     185";"     174";"       6";"       0";"       5";"      80";"      22";"      43";"       8";"      22"
"208";"T001038";"60300";"2014JJ00";"     157";"     148";"       7";"       0";"       2";"      80";"      19";"      27";"       5";"      13"
"209";"T001038";"60300";"2015JJ00";"     185";"     176";"       6";"       0";"       3";"      89";"      25";"      38";"       3";"      17"
"210";"T001038";"60300";"2016JJ00";"     175";"     159";"      12";"       0";"       4";"      73";"      21";"      48";"       5";"      16"
"211";"T001038";"60300";"2017JJ00";"     195";"     186";"       9";"       0";"       0";"     100";"      20";"      39";"       3";"      16"
"212";"T001038";"60300";"2018JJ00";"     222";"     209";"      10";"       0";"       3";"      95";"      27";"      52";"       5";"      21"
"213";"T001038";"60300";"2019JJ00";"     200";"     192";"       7";"       0";"       1";"      98";"      25";"      37";"       7";"      20"
"214";"T001038";"60300";"2020JJ00";"     199";"     194";"       5";"       0";"       0";"      98";"      29";"      32";"       5";"      13"
"215";"T001038";"60300";"2021JJ00";"     237";"     231";"       4";"       0";"       2";"      98";"      26";"      54";"      12";"      19"
"216";"T001038";"60400";"1950JJ00";"      60";"      16";"      35";"       5";"       4";"      20";"       6";"";"       6";"       4"
